epoch, wall, LR,training_loss_bader,training_loss_e,training_loss,training_bader_mae,training_bader_rmse,training_e_mae,training_e_rmse,validation_loss_bader,validation_loss_e,validation_loss,validation_bader_mae,validation_bader_rmse,validation_e_mae,validation_e_rmse
        37,  189.395,    0.001,          0.52116,        0.0009806,          0.52214,        0.482,         1.13,           65,          121,          0.81944,        0.0010206,          0.82046,        0.781,         1.55,         58.9,          110
        38,  194.367,    0.001,          0.50687,         0.001019,          0.50789,         0.48,         1.12,         66.6,          116,          0.80758,        0.0010662,          0.80865,        0.767,         1.54,         55.8,          103
        39,  199.503,    0.001,          0.51584,       0.00094861,          0.51679,         0.49,         1.12,           64,          109,          0.83558,       0.00085622,          0.83643,        0.801,         1.55,         56.3,          107
        40,  204.412,    0.001,          0.55378,       0.00088266,          0.55466,        0.468,          1.1,         62.3,          113,          0.80551,       0.00086064,          0.80637,        0.766,         1.53,         56.9,          113
        41,  209.462,    0.001,          0.49277,       0.00093924,          0.49371,        0.445,         1.08,         63.8,          116,          0.79981,        0.0007927,          0.80061,        0.762,         1.53,         53.3,           98
        42,  214.450,    0.001,          0.44191,       0.00086798,          0.44278,        0.429,         1.07,         61.7,          111,          0.79219,       0.00076354,          0.79295,        0.744,          1.5,         52.8,          101
        43,  219.386,    0.001,          0.50339,       0.00085242,          0.50425,        0.458,         1.07,           61,          108,          0.79549,        0.0011036,           0.7966,        0.768,         1.51,         55.8,          105
        44,  224.314,    0.001,          0.46661,       0.00081542,          0.46743,        0.432,         1.06,         60.2,          107,          0.76613,       0.00078396,          0.76691,        0.735,         1.48,         54.9,          115
        45,  229.308,    0.001,          0.43869,       0.00079336,          0.43948,        0.424,         1.04,         59.6,          111,          0.76244,        0.0007564,          0.76319,        0.721,         1.46,         53.6,          111
        46,  234.347,    0.001,          0.45108,        0.0007946,          0.45188,        0.419,         1.03,         58.9,          109,           0.7756,       0.00077672,          0.77638,        0.749,         1.52,         52.6,          107
        47,  239.314,    0.001,          0.45357,        0.0007913,          0.45436,        0.409,         1.02,         57.1,          102,          0.74872,       0.00071041,          0.74943,        0.707,         1.44,         49.8,         91.7
        48,  244.299,    0.001,          0.44243,       0.00075812,          0.44319,        0.399,         1.01,         57.3,          104,          0.75431,        0.0007379,          0.75505,         0.73,         1.45,         49.3,         95.6
        49,  249.308,    0.001,            0.464,       0.00074218,          0.46474,        0.399,            1,         53.9,         98.7,          0.72643,       0.00064898,          0.72708,         0.69,         1.42,         49.9,           99
        50,  254.390,    0.001,          0.43196,       0.00069906,          0.43266,        0.401,            1,         54.2,         99.9,          0.74241,       0.00070018,          0.74311,        0.702,         1.43,         50.6,          101
        51,  259.280,    0.001,          0.41382,        0.0006973,          0.41452,        0.387,        0.981,         54.1,         99.8,          0.73897,       0.00082769,           0.7398,        0.722,         1.49,         52.9,          104
        52,  264.119,    0.001,          0.41908,        0.0006695,          0.41975,        0.379,         0.97,         52.1,         92.9,          0.71367,       0.00072197,           0.7144,         0.68,         1.39,         49.5,          102
        53,  269.182,    0.001,          0.41022,       0.00071312,          0.41093,        0.396,         0.97,         52.7,         99.2,          0.71159,       0.00093057,          0.71252,        0.679,         1.37,         53.3,          106
        54,  274.215,    0.001,          0.39956,       0.00066902,          0.40023,        0.385,        0.959,         53.3,         96.9,            0.699,         0.000657,          0.69965,        0.662,         1.35,         47.7,         95.5
        55,  279.252,    0.001,          0.43567,       0.00061422,          0.43628,        0.379,        0.952,         48.7,         88.4,          0.70267,       0.00066688,          0.70333,        0.666,         1.35,         47.4,         97.9
        56,  284.130,    0.001,          0.37584,       0.00059348,          0.37643,        0.349,        0.932,         49.6,         91.7,          0.68079,       0.00071801,          0.68151,        0.647,         1.34,         44.8,         87.2
        57,  289.187,    0.001,           0.4013,       0.00067372,          0.40198,        0.367,        0.931,         50.7,           92,           0.6788,       0.00069031,          0.67949,        0.649,         1.33,         45.4,         91.4
